,label,message
239,0,new theory argument win situation loses person dont argue ur friend kick amp say always correct
240,1,u secret admirer looking make contact r reveal think ur
241,0,tomarrow final hearing laptop case cant
242,0,pleassssssseeeeee tel v avent done sportsx
243,0,okay shining meant signing sound better
244,0,although told u dat baig face watch really like e watch u gave co fr thanx everything dat u done today touched
245,0,u remember old commercial
246,0,late said website dont slipper
247,0,asked call ok
248,0,kallis wont bat inning
249,0,didnt work oh ok goodnight fix ready time wake dearly missed good night sleep
250,1,congratulation ur awarded cd voucher guaranteed free entry wkly draw txt music tncs
251,0,ranjith cal drpd deeraj deepak hold
252,0,wen ur lovable bcums angry wid u dnt take seriously coz angry childish n true way showing deep affection care n luv kettoda manda nice day da
253,0,
254,0,ups also shipping company take way usps take week get lag may bribe nipost get stuff
255,0,back lem know ready
256,0,necessarily expect done get back though headin
257,0,mmm yummy babe nice jolt suzy
258,0,lover need
259,1,tried contact reply offer video handset anytime network min unlimited text camcorder reply call
260,0,parked next mini coming today think
261,0,yup
262,0,anyway going shopping co si done yet dun disturb u liao
263,0,luton ring ur around h
264,1,hey really horny want chat see naked text hot text charged unsubscribe text stop
265,0,dint come u
266,0,wana plan trip sometme
267,0,sure yet still trying get hold
268,1,ur ringtone service changed free credit go choose content stop txt club stop po
269,0,evo download flash jealous
270,1,ringtone club get uk single chart mobile week choose top quality ringtone message free charge
271,0,come mu sorting narcotic situation
272,0,night ended another day morning come special way may smile like sunny ray leaf worry blue blue bay
273,1,hmv bonus special pound genuine hmv voucher answer easy question play send hmv info
274,0,usf guess might well take car
275,0,objection bf coming
276,0,thanx
277,0,tell rob mack gf theater
278,0,awesome see bit
279,0,sent type food like
280,0,done handed celebration full swing yet
281,0,got called tool
282,0,wen u miss someone person definitely special u person special miss gdeve
283,0,asked money far
284,0,okie
285,0,yeah think usual guy still passed last night get ahold anybody let know throw
286,0,k might come tonight class let early
287,0,ok
288,0,hi baby im cruisin girl friend r u give call hour home thats alright fone fone love jenny xxx
289,0,life mean lot love life love people life world call friend call world ge
290,0,dear shall mail street shall update looking edukkukayee raksha good one real sense
291,0,hey told name gautham ah
292,0,haf u found feel stupid da v cam working
293,0,oops got bit
294,0,much buzy
295,0,accidentally deleted message resend please
296,1,customer may claim free camera phone upgrade pay go sim card loyalty call end c apply
297,0,unless situation go gurl would appropriate
298,0,hurt tease make cry end life die plz keep one rose grave say stupid miss u nice day bslvyl
299,0,cant pick phone right pls send message
300,0,need coffee run tomo ca believe time week already
301,0,awesome remember last time got somebody high first time diesel v
302,0,shit really shocking scary cant imagine second def night u think somewhere could crash night save taxi
303,0,oh way food fridge want go meal tonight
304,0,womdarfull actor
305,1,sm ac blind date aberdeen united kingdom check http sm blind date send hide
306,0,yup remb think book
307,0,jos ask u wana meet
308,0,lol yes friendship hanging thread cause u wo buy stuff
309,1,themob check newest selection content game tone gossip babe sport keep mobile fit funky text wap
310,0,garage key bookshelf
311,0,today accept day u accept brother sister lover lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply mean enemy
312,1,think ur smart win week weekly quiz text play c winnersclub po box
313,0,say give call friend got money definitely buying end week
314,0,hi way u normal way real ur unique hope know u rest mylife hope u find wot lost
315,0,made day great day
316,0,advance happy pongal
317,0,hmmm guess go kb n power yoga haha dunno tahan power yoga anot thk got lo oso forgot liao
318,0,really dude friend afraid
319,1,december mobile entitled update latest colour camera mobile free call mobile update co free
320,0,coffee cake guess
321,0,merry christmas babe love ya kiss
322,0,hey dont go watch x men lunch haha
323,0,cud u tell ppl im gona b bit co bus hav gon past co full im still waitin pete x
324,0,would great guild could meet bristol road somewhere get touch weekend plan take flight good week
325,0,problem
326,0,call message missed call
327,0,hi da today class
328,0,say good sign well know track record reading woman
329,0,cool text parked
330,0,reading text sent meant joke read light
331,0,apo movie
332,0,maybe could get book tomo return immediately something
333,1,call germany penny per minute call fixed line via access number prepayment direct access
334,0,chance might evaporated soon violated privacy stealing phone number employer paperwork cool please contact report supervisor
335,1,valentine day special win quiz take partner trip lifetime send go rcvd
336,0,home babe still
337,0,cool come havent wined dined
338,0,sleeping surfing
339,0,sorry call later
340,0,u calling right call hand phone
341,0,ok great thanx lot
342,0,take post come must text happy reading one wiv hello caroline end favourite bless
343,0,u hiding stranger
344,0,interested like
345,0,sister cleared two round birla soft yesterday
346,0,gudnite tc practice going
347,0,dis yijue jus saw ur mail case huiming havent sent u num dis num
348,0,one small prestige problem
349,1,fancy shag txt xxuk suzy txts cost per msg tncs website x
350,0,checking really miss seeing jeremiah great month
351,0,nah ca help never iphone
352,0,car hour half going apeshit
353,0,today sorry ever angry ever misbehaved hurt plz plz slap urself bcoz ur fault basically good
354,0,yo guy ever figure much need alcohol jay trying figure much safely spend weed
355,0,lt gt ish minute minute ago wtf
356,0,thank say happy onam fine remembered met insurance qatar insha ex tata aig joined tissco tayseer
357,1,congratulation ur awarded cd voucher guaranteed free entry wkly draw txt music tncs
358,1,ur currently pound maximize ur send cash cc
359,0,actor work work evening sleep late since unemployed moment always sleep late unemployed every day saturday
360,0,hello got st long way cold keep posted
361,0,ha ha cool cool chikku chikku
362,0,oh ok prob
363,0,check audrey status right
364,0,busy trying finish new year looking forward finally meeting
365,0,good afternoon sunshine dawn day refreshed happy alive breathe air smile think love always
366,0,well know z take care worry
367,1,xmas offer latest motorola sonyericsson nokia free bluetooth double min txt orange call
368,1,discount code stop message reply stop customer service
369,0,wat uniform get
370,0,cool text ready
371,0,hello boytoy geeee miss already woke wish bed cuddling love
372,0,spoil bed well
373,0,going bath msg next lt gt min
374,0,cant keep talking people sure pay agree price pls tell want really buy much willing pay
375,1,thanks ringtone order reference charged gbp per week unsubscribe anytime calling customer service
376,0,say happen
377,0,could seen recognise face
378,0,well lot thing happening lindsay new year sigh bar ptbo blue heron something going
379,0,keep payasam rinu brings
380,0,taught ranjith sir called sm like becaus he verifying project prabu told today pa dont mistake
381,0,guess worried must know way body repair quite sure worry take slow first test guide ovulation relax nothing said reason worry keep followin
382,0,yeah sure give couple minute track wallet
383,0,hey leave big deal take care
384,0,hey late ah meet
385,1,double min txts free bluetooth orange available sony nokia motorola phone call
386,0,took mr owl lick
387,0,customer place call
388,0,mm time dont like fun
389,1,half price orange line rental latest camera phone free phone call mobilesdirect free update
390,0,yup lunch buffet u eat already
391,0,huh late fr dinner
392,0,hey sat going intro pilate kickboxing
393,0,morning ok
394,0,yes think office lap room think thats last day didnt shut
395,0,pick bout time going
396,0,performance award calculated every two current one month period
397,0,actually sleeping still might u call back text rock si send u text wen wake
398,0,always putting business put picture as facebook one open people ever met would think picture room would hurt make feel violated
399,0,good evening sir al salam happy grace god got offer tayseer tissco allah meet visitor india
400,0,hmmm k want change field quickly da wan na get system administrator network administrator
401,1,free ringtone text first poly text get true tone help free tone txt stop
402,0,dear chechi talk
403,0,hair cream shipped
404,0,none happening til get though
405,0,yep great loxahatchee xmas tree burning lt gt start hour
406,0,haha get used driving usf man know lot stoner
407,0,well slightly disastrous class pm fav darling hope day coffee wld good ca stay late tomorrow time place always
408,0,hello good week fancy drink something later
409,0,headin towards busetop
410,0,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via
411,0,come room point iron plan weekend
412,0,co want thing
413,0,okies go yan jiu skip ard oso go cine den go mrt one blah blah blah
414,0,bring home wendy
415,1,dating service cal l
416,0,whatsup dont u want sleep
417,0,alright new goal
418,1,free entry weekly competition text word win c
419,0,alright head minute text meet
420,1,send logo ur lover name joined heart txt love mobno eg love adam eve yahoo txtno ad
421,0,yes last week taking live call
422,1,someone contacted dating service entered phone fancy find call landline
423,0,siva hostel aha
424,1,urgent mobile number awarded prize guaranteed call land line claim valid
425,0,send ur friend receive something ur voice speaking expression attitude lt gt lt gt reply
426,0,guess
427,0,aathi dear
428,0,pain urination thing else
429,0,esplanade ü mind giving lift co got car today
430,0,wnt buy bmw car urgently vry hv shortage lt gt source arng dis amt lt gt lac thats prob
431,0,home watching tv lor
432,0,usually take fifteen fucking minute respond yes question
433,1,congrats nokia video camera phone call call cost ave call vary mobile close post ldn
434,0,booked ticket pongal
435,0,available like right around hillsborough amp lt gt th
436,0,message sent askin lt gt dollar shoul pay lt gt lt gt
437,0,ask g iouri told story like ten time already
438,0,long applebees fucking take
439,0,hi hope u get hasnt gd min late think
440,0,like love arrange
441,0,yes really great bhaji told kallis best cricketer sachin world tough get
442,0,supposed wake gt
443,0,oic saw tot din c found group liao
444,0,sorry call later
445,0,hey hey werethe monkeespeople say monkeyaround howdy gorgeous howu doin foundurself jobyet sausage love jen xxx
446,0,sorry battery died come getting gram place
447,0,well done blimey exercise yeah kinda remember wot hmm
448,0,wont get concentration dear know mind everything
449,0,lol made plan new year
450,0,min later k
451,0,hank lotsly
452,0,thanks hope good day today
453,0,k k detail want transfer acc enough
454,0,ok tell stay yeah tough optimistic thing improve month
455,1,loan purpose homeowner tenant welcome previously refused still help call free text back
456,0,si si think ill go make oreo truffle
457,0,look amy ure beautiful intelligent woman like u lot know u like like worry
458,0,hope result consistently intelligent kind start asking practicum link keep ear open best ttyl
459,0,call cost guess isnt bad miss ya need ya want ya love ya
460,0,going thru different decision coping heal everything believe
461,0,u go phone gon na die stay
462,0,great never better day give even reason thank god
463,1,upgrdcentre orange customer may claim free camera phone upgrade loyalty call offer end july c apply available
464,0,sorry call later ok bye
465,0,ok way railway
466,0,great princess love giving receiving oral doggy style fave position enjoy making love lt gt time per night
467,0,put stuff road keep getting slippery
468,0,going ride bike
469,0,yup need jus wait e rain stop
470,0,many company tell language
471,1,okmail dear dave final notice collect tenerife holiday cash award call landline tc sae
472,0,long since screamed princess
473,0,nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollar got removed bank differ charge also sure trust person sending account detail co
474,1,want get laid tonight want real dogging location sent direct ur mob join uk largest dogging network txting moan
475,0,nice line said broken plz cum time infront wise trust u good
476,0,ok gon na head usf like fifteen minute
477,0,love aathi love u lot
478,0,tension ah machi problem
479,0,k pick another done
480,0,guy getting back g said thinking staying mcr
481,0,almost see u sec
482,0,yo carlos friend already asking working weekend
483,0,watching tv lor
484,0,thank baby cant wait taste real thing
485,0,change fb jaykwon thuglyfe falconerf
486,0,win really side long time
487,1,free message activate free text message replying message word free term condition visit
488,0,dear reached railway happen
489,0,depends quality want type sent boye faded glory want ralphs maybe
490,0,think fixed send test message
491,0,sorry man account dry would want could trade back half could buy shit credit card
492,1,congrats year special cinema pas call c suprman v etc free dont miss
493,0,sorry meeting call later
494,0,class lt gt reunion
495,0,free call
496,0,got meh
497,0,nope think go monday sorry replied late
498,0,told accenture confirm true
499,0,kate jackson rec center right
500,0,dear reache room
501,0,fighting world easy u either win lose bt fightng close u dificult u lose u lose u win u still lose
502,0,ü come
503,0,check nuerologist
504,0,lolnice went fish water
505,1,congratulation week competition draw u prize claim call sm
506,0,waiting e car dat bored wat co wait outside got nothing home stuff watch tv wat
507,0,maybe westshore hyde park village place near house
508,0,know anthony bringing money school fee pay rent stuff like thats need help friend need
509,0,significance
510,0,opinion jada kusruthi lovable silent spl character matured stylish simple pls reply
511,0,latest g still scrounge ammo want give new ak try
512,0,prabha soryda realy frm heart sory
513,0,lol ok forgiven
514,0,jst change tat
515,1,guaranteed latest nokia phone ipod player prize txt word collect ibhltd
516,0,competition
517,1,boltblue tone reply poly mono eg cha cha slide yeah slow jamz toxic come stop tone txt
518,1,credit topped http renewal pin tgxxrz
519,0,way transport le problematic sat night way u want ask n join bday feel free need know definite no booking fri
520,0,usually person unconscious child adult may behave abnormally call
521,0,ebay might le elsewhere
522,0,shall come get pickle
523,0,gon na go get taco
524,0,rude campus
525,1,urgent mobile awarded bonus caller prize attempt contact call
526,0,hi wo b ard christmas enjoy n merry
527,1,today offer claim ur worth discount voucher text yes savamob member offer mobile c sub unsub reply x
528,0,yes pretty lady like single
529,1,recieve tone within next term condition please see channel u teletext pg
530,0,jay say
531,1,private account statement show point call identifier code expires
532,0,sunday holiday work
533,0,gudnite tc practice going
534,0,late
535,0,called hoping malaria know miss guy miss ban big pls give love especially great day
536,0,good afternoon love go day hope maybe got lead job think boytoy send passionate kiss across sea
537,0,probably gon na see later tonight lt
538,0,maybe fat finger press button know
539,0,ummmmmaah many many happy return day dear sweet heart happy birthday dear
540,0,tirupur da started office call
541,1,monthlysubscription csc web txt stop
542,0,famous quote develop ability listen unconditionally without losing temper self confidence mean
543,0,going college else ill come self pa
544,0,oclock mine bash flat plan
545,0,girl stay bed girl need recovery time id rather pas fun cooped bed
546,0,special
547,0,know need get hotel got invitation apologise cali sweet come english bloke weddin
548,0,sorry took long omw
549,0,wait lt gt min
550,0,ok give minute think see btw alibi cutting hair whole time
551,0,imagine finally get sink bath put pace maybe even eat left also imagine feel cage cock surrounded bath water reminding always owns enjoy cuck
552,0,hurry like three day
553,0,sure get acknowledgement astoundingly tactless generally faggy demand blood oath fo
554,0,every night take warm bath drink cup milk see work magic still need loose weight know
555,0,look frying pan case cheap book perhaps silly frying pan likely book
556,0,well uv cause mutation sunscreen like essential thesedays
557,0,lunch online
558,0,know friend already told
559,0,hi princess thank pic pretty
560,0,aiyo u always c ex one dunno abt mei reply first time u reply fast lucky workin huh got bao ur sugardad ah gee
561,0,hi msg office
562,0,thanx e brownie v nice
563,0,geeeee love much barely stand
564,1,gent trying contact last weekend draw show prize guaranteed call claim code valid
565,0,fuck babe miss already know ca let send money towards net need want crave
566,0,ill call u ninish address icky american freek wont stop callin bad jen k eh
567,0,oooh bed ridden ey thinking
568,0,anyways go gym whatever love smile hope ok good day babe miss much already
569,0,love daddy make scream pleasure going slap as dick
570,0,wot u wan na missy
571,0,yar lor wait mum finish sch lunch lor whole morning stay home clean room room quite clean hee
572,0,know lab goggles went
573,0,open door
574,0,waiting call
575,0,nope waiting sch daddy
576,1,cash prize claim
577,0,tired arguing week week want
578,0,ü wait sch finish ard
579,1,mobile number claim call u back ring claim hot line
580,0,arngd marriage u r walkin unfortuntly snake bite bt love marriage dancing frnt snake amp sayin bite bite
581,0,huh early ü dinner outside izzit
582,0,ok anyway need change said
583,1,tried contact reply offer min textand new video phone call reply free delivery tomorrow
584,0,able kid want kid one day
585,0,scotland hope showing jjc tendency take care live dream
586,0,tell u headache want use hour sick time
587,0,dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den
588,0,pete please ring meive hardly gotany credit
589,0,ya srsly better yi tho
590,0,meeting call later
591,1,ur chance win wkly shopping spree txt shop c custcare
592,1,specially selected receive pound award call line close cost c apply ag promo
593,1,private account statement show point call identifier code expires
594,0,still grand prix
595,0,met stranger choose friend long world stand friendship never end let friend forever gud nitz
596,0,great
597,0,gud mrng dear nice day
598,1,important customer service announcement call freephone
599,0,exhausted train morning much wine pie sleep well
600,0,going buy mum present ar
601,0,mind blastin tsunami occur rajnikant stopped swimming indian ocean
602,0,u sending home first ok lor ready yet
603,0,speaking cash yet
604,0,happy come noon
605,0,meet lunch la
606,0,take care n get well soon
607,1,xclusive clubsaisai soiree speciale zouk nichols rose lady info
608,0,meant say cant wait see u getting bored bridgwater banter
609,0,neva mind ok
610,0,fine imma get drink somethin want come find
611,1,day kick u kept date latest news result daily removed send get txt stop
612,0,valentine game send dis msg ur friend answer r someone really love colour suit best rply
613,0,many dependent
614,0,today cer nice catch ave find time often oh well take care c u
615,0,called said choose future
616,0,happy valentine day know early hundred handsomes beauty wish thought finish aunty uncle
617,0,like v shock leh co telling shuhui like telling leona also like dat almost know liao got ask abt ur reaction lor
618,0,family happiness
619,0,come n pick ü come immediately aft ur lesson
620,0,let snow let snow kind weather brings ppl together friendship grow
621,0,dear got lt gt dollar hi hi
622,0,good word word may leave u dismay many time
623,0,make sure alex know birthday fifteen minute far concerned
624,0,sorry got thing may pub later
625,0,nah straight bring bud drink something actually little useful straight cash
626,0,haha good hear officially paid market
627,0,many lick take get center tootsie pop
628,0,yup thk r e teacher said make face look longer darren ask cut short
629,1,new textbuddy chat horny guy ur area free receive search postcode txt one name
630,1,today vodafone number ending selected receive award number match call receive award
631,0,please dont say like hi hi hi
632,0,thank u
633,0,oh forwarded message thought send
634,0,got seventeen pound seven hundred ml hope ok
635,1,dear voucher holder claim week offer pc go http t c stop text txt stop
636,0,n funny
637,0,sweetheart hope kind day one load reason smile biola
638,0,ü login dat time dad fetching ü home
639,0,shower baby
640,0,askd u question hour answer
641,0,well imma definitely need restock thanksgiving let know
642,0,said kiss kiss ca sound effect gorgeous man kind person need smile brighten day
643,0,probably gon na swing wee bit
644,0,ya ready thursday
645,0,allo braved bus taken train triumphed mean b ham jolly good rest week
646,0,watching cartoon listening music amp eve go temple amp church u
647,0,mind ask happened dont say uncomfortable
648,1,private account statement show point call identifier code expires
649,0,prob send email
650,1,cash prize claim c rstm
651,0,thats cool sometimes slow gentle sonetimes rough hard
652,0,gon na say sorry would normal starting panic time sorry seeing tuesday
653,0,wait know wesley town bet hella drug
654,0,fine miss much
655,0,u got person story
656,0,tell drug dealer getting impatient
657,0,sun cant come earth send luv ray cloud cant come river send luv rain cant come meet u send care msg gud evng
658,0,place man
659,0,doesnt make sense take unless free need know
660,1,premium phone service call
661,0,sea lay rock rock envelope envelope paper paper word
662,0,mum repent
663,0,sorry going home first daddy come fetch ü later
664,0,leave de start prepare next
665,0,yes baby study position kama sutra
666,0,en chikku nange bakra msg kalstiya
667,0,carlos minute still need buy
668,0,pay lt decimal gt lakh
669,0,good evening ttyl
670,0,u receive msg
671,0,ho ho big belly laugh see ya tomo
672,1,sm ac post hello seem cool wanted say hi hi stop send stop
673,1,get ur ringtone free reply msg tone top tone phone every week per wk opt send stop
674,0,ditto wo worry saying anything anymore like said last night whatever want peace
